startDate,endDate,MWStd,MW,MSP,THRTEMP,YRHRPRS,RRHRPRS,YRHRTEMPT,RRHRTEMPT,MWD2,HHA11,HHA31,HHA51,HHA71,HHA81,HNA01A,HNA01B,HNA02A,HNA02B,LAE11,LAE12,LAE13,LAE14,LAE21,LAE22,LAE23,LAE24,TOTALCOAL,TAF,O2,FWFLOW,A09M210SHH
2016-03-07 00:53:00,2016-03-07 01:06:00,5.236145374963833,776.1405714285713,25.398592857142855,602.4887857142859,7.58471,2.1451500000000006,593.0538571428572,594.0269999999999,775.2880000000001,85,85,85,85,85,72,72,100,100,11.3706,2.0583,30.8194,40.9319,29.7096,69.4423,44.3354,77.5859,266.687,2658.7764,3.186,1814.6989,2662.1436
2016-03-07 01:08:00,2016-03-07 01:16:00,1.8502000492439064,768.7376666666667,25.419911111111112,602.8756666666667,7.584709999999999,2.14515,593.2754444444444,594.3453333333334,766.9287777777778,85,85,85,85,85,72,72,100,100,34.3644,2.4284,39.5944,62.0065,32.655,60.1445,46.7542,67.9996,250.1452,2514.5656,3.0958,1699.0133,2562.5472
2016-03-07 16:56:00,2016-03-07 20:06:00,17.780904182486832,801.8017539267015,26.507483246073306,596.2737068062827,8.520546282722515,2.6793299999999993,593.9201989528796,589.0831413612565,801.8754607329843,85,85,85,50,50,100,100,74,74,3.5813,41.7867,42.2484,43.3958,66.1279,69.9672,80.2606,76.1465,292.5592,2880.4968,3.8042,1990.3729,2810.4011
2016-03-07 21:01:00,2016-03-07 22:39:00,22.38602362451116,811.0539999999999,26.57797979797979,596.7770202020203,8.333333333333334,2.5938600000000003,593.0825454545455,589.785595959596,810.9089797979798,85,85,85,50,50,80,80,100,100,10.8873,41.5153,41.7814,26.3567,49.4786,61.4932,69.8086,70.0867,297.8116,2878.0018,4.0067,2000.7929,2787.2057
2016-03-08 06:33:00,2016-03-08 09:33:00,20.65716443303581,806.5388011049724,26.456452486187843,599.2331104972376,8.03279187845304,2.05052,590.1264475138122,587.5938895027624,806.6601049723756,75,75,75,60,60,60,60,100,100,11.9147,19.6016,29.2691,33.1073,33.7215,50.8268,46.4291,56.5558,294.7408,2813.9642,3.5006,2031.4936,2824.8859
2016-03-09 00:07:00,2016-03-09 00:51:00,6.334973192923687,777.5695777777777,25.68606222222222,601.2736000000001,7.880495111111112,2.733739111111112,593.4349333333332,592.949911111111,777.1395777777778,80,80,80,80,80,100,100,88,88,6.6673,0.9931,0.4748,77.7893,4.7388,37.7893,4.0191,46.0107,276.9942,2840.0053,3.1427,1930.4793,2788.3659
2016-03-09 00:53:00,2016-03-09 01:06:00,3.351586977135777,776.6301428571429,26.035257142857144,603.2406428571429,7.9098000000000015,2.3191400000000004,594.8097142857143,594.8297142857142,775.5641428571429,80,80,80,80,80,100,100,88,88,59.3886,2.2022,2.0877,90.4697,48.4498,89.1025,55.1347,91.2722,256.0358,2680.9857,3.0444,1765.945,2701.1054
2016-03-09 01:12:00,2016-03-09 01:20:00,3.3297498441611584,771.8785555555555,25.562366666666666,602.4330000000001,7.9098,2.31914,593.4074444444445,593.47,771.9804444444445,80,80,80,80,80,100,100,88,88,3.1441,1.6823,0.134,84.4424,54.3752,89.5335,60.8228,88.9232,244.6195,2553.4872,2.9866,1688.825,2593.2672
2016-03-09 07:47:00,2016-03-09 07:59:00,12.482030095372089,844.376076923077,28.53855384615385,604.7225384615384,8.9011,2.59692,600.6875384615386,603.1642307692308,842.7039230769229,90,90,90,90,90,100,100,80,80,3.3765,4.3463,0.1691,72.5181,10.7072,18.8927,15.387,19.4233,299.3133,2838.5504,2.9972,1972.8296,2610.7946
2016-03-09 08:01:00,2016-03-09 08:27:00,6.833648786656293,781.1099629629631,26.265092592592595,601.8679629629629,8.52971111111111,2.59692,598.0506666666666,598.7343703703704,780.6989999999998,90,90,90,90,90,100,100,80,80,5.3272,17.5655,22.103,48.9022,39.3468,63.4695,44.6366,62.8476,293.1687,2685.0607,3.521,1854.7237,2768.3009
