date,MWValue,MWState,SELMWValue,SELMWState
2016-2-21 03:50:00,644.541,0x0000, 644.541,0x0000,
2016-2-21 03:55:00,647.11, 0x0000, 647.11, 0x0000,
2016-2-21 04:00:00,635.119,0x0000, 635.119,0x0000,
2016-2-21 04:05:00,651.393,0x0000, 651.393,0x0000,
2016-2-21 04:10:00,646.254,0x0000, 646.254,0x0000,
2016-2-21 04:15:00,644.541,0x0000, 644.541,0x0000,
2016-2-21 04:20:00,647.967,0x0000, 647.967,0x0000,
2016-2-21 04:25:00,638.545,0x0000, 638.545,0x0000,
2016-2-21 04:30:00,642.828,0x0000, 642.828,0x0000,
2016-2-21 04:35:00,643.684,0x0000, 643.684,0x0000,
2016-2-21 04:40:00,641.115,0x0000, 641.115,0x0000,
2016-2-21 04:45:00,645.397,0x0000, 645.397,0x0000,
2016-2-21 04:50:00,647.11, 0x0000, 647.11, 0x0000,
2016-2-21 04:55:00,639.401,0x0000, 639.401,0x0000,
2016-2-21 05:00:00,647.967,0x0000, 647.967,0x0000,
2016-2-21 05:05:00,647.967,0x0000, 647.967,0x0000,
2016-2-21 05:10:00,659.958,0x0000, 659.958,0x0000,
2016-2-21 05:15:00,661.671,0x0000, 661.671,0x0000,
2016-2-21 05:20:00,650.536,0x0000, 650.536,0x0000,
2016-2-21 05:25:00,655.675,0x0000, 655.675,0x0000,
2016-2-21 05:30:00,659.958,0x0000, 659.958,0x0000,
2016-2-21 05:35:00,658.245,0x0000, 658.245,0x0000,
2016-2-21 05:40:00,651.393,0x0000, 651.393,0x0000,
2016-2-21 05:45:00,671.093,0x0000, 671.093,0x0000,
2016-2-21 05:50:00,683.941,0x0000, 683.941,0x0000,
2016-2-21 05:55:00,680.515,0x0000, 680.515,0x0000,
2016-2-21 06:00:00,683.085,0x0000, 683.085,0x0000,
2016-2-21 06:05:00,693.363,0x0000, 693.363,0x0000,
2016-2-21 06:10:00,679.658,0x0000, 679.658,0x0000,
2016-2-21 06:15:00,699.359,0x0000, 699.359,0x0000,
2016-2-21 06:20:00,690.793,0x0000, 690.793,0x0000,
2016-2-21 06:25:00,692.506,0x0000, 692.506,0x0000,
2016-2-21 06:30:00,693.363,0x0000, 693.363,0x0000,
2016-2-21 06:35:00,714.776,0x0000, 714.776,0x0000,
2016-2-21 06:40:00,729.337,0x0000, 729.337,0x0000,
2016-2-21 06:45:00,742.185,0x0000, 742.185,0x0000,
2016-2-21 06:50:00,753.32, 0x0000, 753.32, 0x0000,
2016-2-21 06:55:00,760.172,0x0000, 760.172,0x0000,
2016-2-21 07:00:00,770.451,0x0000, 770.451,0x0000,
2016-2-21 07:05:00,769.594,0x0000, 769.594,0x0000,
2016-2-21 07:10:00,779.873,0x0000, 779.873,0x0000,
2016-2-21 07:15:00,766.168,0x0000, 766.168,0x0000,
2016-2-21 07:20:00,793.577,0x0000, 793.577,0x0000,
2016-2-21 07:25:00,791.864,0x0000, 791.864,0x0000,
2016-2-21 07:30:00,790.151,0x0000, 790.151,0x0000,
2016-2-21 07:35:00,798.716,0x0000, 798.716,0x0000,
2016-2-21 07:40:00,809.851,0x0000, 809.851,0x0000,
2016-2-21 07:45:00,807.282,0x0000, 807.282,0x0000,
2016-2-21 07:50:00,782.442,0x0000, 782.442,0x0000,
2016-2-21 07:55:00,773.02, 0x0000, 773.02, 0x0000,
2016-2-21 08:00:00,737.046,0x0000, 737.046,0x0000,
2016-2-21 08:05:00,725.911,0x0000, 725.911,0x0000,
2016-2-21 08:10:00,721.628,0x0000, 721.628,0x0000,
2016-2-21 08:15:00,713.92, 0x0000, 713.92, 0x0000,
2016-2-21 08:20:00,719.059,0x0000, 719.059,0x0000,
2016-2-21 08:25:00,728.481,0x0000, 728.481,0x0000,
2016-2-21 08:30:00,733.62, 0x0000, 733.62, 0x0000,
2016-2-21 08:35:00,733.62, 0x0000, 733.62, 0x0000,
2016-2-21 08:40:00,730.194,0x0000, 730.194,0x0000,
2016-2-21 08:45:00,737.903,0x0000, 737.903,0x0000,
2016-2-21 08:50:00,737.903,0x0000, 737.903,0x0000,
2016-2-21 08:55:00,737.903,0x0000, 737.903,0x0000,
2016-2-21 09:00:00,735.333,0x0000, 735.333,0x0000,
2016-2-21 09:05:00,739.616,0x0000, 739.616,0x0000,
2016-2-21 09:10:00,747.325,0x0000, 747.325,0x0000,
2016-2-21 09:15:00,734.477,0x0000, 734.477,0x0000,
2016-2-21 09:20:00,746.468,0x0000, 746.468,0x0000,
2016-2-21 09:25:00,731.907,0x0000, 731.907,0x0000,
2016-2-21 09:30:00,732.763,0x0000, 732.763,0x0000,
2016-2-21 09:35:00,728.481,0x0000, 728.481,0x0000,
2016-2-21 09:40:00,720.772,0x0000, 720.772,0x0000,
2016-2-21 09:45:00,731.907,0x0000, 731.907,0x0000,
2016-2-21 09:50:00,725.911,0x0000, 725.911,0x0000,
2016-2-21 09:55:00,731.907,0x0000, 731.907,0x0000,
2016-2-21 10:00:00,737.903,0x0000, 737.903,0x0000,
2016-2-21 10:05:00,741.329,0x0000, 741.329,0x0000,
2016-2-21 10:10:00,744.755,0x0000, 744.755,0x0000,
2016-2-21 10:15:00,745.611,0x0000, 745.611,0x0000,
2016-2-21 10:20:00,755.89, 0x0000, 755.89, 0x0000,
2016-2-21 10:25:00,758.459,0x0000, 758.459,0x0000,
2016-2-21 10:30:00,769.594,0x0000, 769.594,0x0000,
2016-2-21 10:35:00,768.738,0x0000, 768.738,0x0000,
2016-2-21 10:40:00,764.455,0x0000, 764.455,0x0000,
2016-2-21 10:45:00,761.885,0x0000, 761.885,0x0000,
2016-2-21 10:50:00,766.168,0x0000, 766.168,0x0000,
2016-2-21 10:55:00,762.742,0x0000, 762.742,0x0000,
2016-2-21 11:00:00,732.763,0x0000, 732.763,0x0000,
2016-2-21 11:05:00,719.059,0x0000, 719.059,0x0000,
2016-2-21 11:10:00,707.924,0x0000, 707.924,0x0000,
2016-2-21 11:15:00,712.207,0x0000, 712.207,0x0000,
2016-2-21 11:20:00,691.65, 0x0000, 691.65, 0x0000,
2016-2-21 11:25:00,690.793,0x0000, 690.793,0x0000,
2016-2-21 11:30:00,678.802,0x0000, 678.802,0x0000,
2016-2-21 11:35:00,666.81, 0x0000, 666.81, 0x0000,
2016-2-21 11:40:00,659.102,0x0000, 659.102,0x0000,
2016-2-21 11:45:00,657.389,0x0000, 657.389,0x0000,
2016-2-21 11:50:00,651.393,0x0000, 651.393,0x0000,
2016-2-21 11:55:00,658.245,0x0000, 658.245,0x0000,
2016-2-21 12:00:00,653.962,0x0000, 653.962,0x0000,
2016-2-21 12:05:00,665.097,0x0000, 665.097,0x0000,
2016-2-21 12:10:00,664.241,0x0000, 664.241,0x0000,
2016-2-21 12:15:00,681.372,0x0000, 681.372,0x0000,
2016-2-21 12:20:00,665.097,0x0000, 665.097,0x0000,
2016-2-21 12:25:00,675.376,0x0000, 675.376,0x0000,
2016-2-21 12:30:00,685.654,0x0000, 685.654,0x0000,
2016-2-21 12:35:00,691.65, 0x0000, 691.65, 0x0000,
2016-2-21 12:40:00,699.359,0x0000, 699.359,0x0000,
2016-2-21 12:45:00,709.637,0x0000, 709.637,0x0000,
2016-2-21 12:50:00,703.641,0x0000, 703.641,0x0000,
2016-2-21 12:55:00,715.633,0x0000, 715.633,0x0000,
