date,MWValue,MWState,SELMWValue,SELMWState,MSP,MSPState,MSPS,MSPSState,THRTEMP,THRTEMPState
2016-3-1 06:45:00, 884.37, 0x0000, 884.37, 0x0000, 29.3284,0x0000, 29.0448,0x0000, 601.433,0x0000
2016-3-1 06:50:00, 887.796,0x0000, 887.796,0x0000, 29.3284,0x0000, 29.1639,0x0000, 597.377,0x0000
2016-3-1 06:55:00, 881.8,  0x0000, 881.8,  0x0000, 29.2063,0x0000, 28.9572,0x0000, 597.699,0x0000
2016-3-1 07:00:00, 882.657,0x0000, 882.657,0x0000, 28.9011,0x0000, 28.7981,0x0000, 598.623,0x0000
2016-3-1 07:05:00, 903.213,0x0000, 903.213,0x0008, 29.0842,0x0000, 29.0604,0x0000, 600.51, 0x0000
2016-3-1 07:10:00, 894.648,0x0000, 894.648,0x0000, 29.2063,0x0000, 29.4379,0x0000, 597.674,0x0000
2016-3-1 07:15:00, 898.074,0x0000, 898.074,0x0000, 29.0232,0x0000, 29.6574,0x0000, 598.966,0x0000
2016-3-1 07:20:00, 899.787,0x0000, 899.787,0x0000, 28.9621,0x0000, 29.5494,0x0000, 601.112,0x0000
2016-3-1 07:25:00, 895.505,0x0000, 895.505,0x0000, 29.2063,0x0000, 29.4961,0x0000, 602.332,0x0000
2016-3-1 07:30:00, 912.635,0x0000, 912.635,0x0008, 29.6337,0x0000, 29.6911,0x0000, 602.946,0x0000
2016-3-1 07:35:00, 925.483,0x0000, 925.483,0x0008, 29.9389,0x0000, 29.9512,0x0000, 601.348,0x0000
2016-3-1 07:40:00, 927.196,0x0000, 927.196,0x0008, 30.1221,0x0000, 30.257, 0x0000, 597.246,0x0000
2016-3-1 07:45:00, 921.201,0x0000, 921.201,0x0008, 30.2442,0x0000, 30.3047,0x0000, 599.409,0x0000
2016-3-1 07:50:00, 914.348,0x0000, 914.348,0x0008, 30.4273,0x0000, 30.4231,0x0000, 600.668,0x0000
2016-3-1 07:55:00, 907.496,0x0000, 907.496,0x0008, 30.6716,0x0000, 30.0441,0x0000, 600.336,0x0000
2016-3-1 08:00:00, 892.935,0x0000, 892.935,0x0000, 30.1831,0x0000, 29.4661,0x0000, 599.726,0x0000
2016-3-1 08:05:00, 872.378,0x0000, 872.378,0x0000, 29.4505,0x0000, 28.8924,0x0000, 597.554,0x0000
2016-3-1 08:10:00, 866.382,0x0000, 866.382,0x0000, 28.7179,0x0000, 28.3035,0x0000, 598.182,0x0000
2016-3-1 08:15:00, 859.53, 0x0000, 859.53, 0x0000, 28.779, 0x0000, 28.2049,0x0000, 601.288,0x0000
2016-3-1 08:20:00, 869.809,0x0000, 869.809,0x0000, 28.5958,0x0000, 28.2774,0x0000, 599.091,0x0000
2016-3-1 08:25:00, 868.096,0x0000, 868.096,0x0000, 28.5348,0x0000, 28.7613,0x0000, 596.883,0x0000
2016-3-1 08:30:00, 876.661,0x0000, 876.661,0x0000, 28.3516,0x0000, 28.5426,0x0000, 597.503,0x0000
2016-3-1 08:35:00, 879.23, 0x0000, 879.23, 0x0000, 28.779, 0x0000, 28.9235,0x0000, 601.371,0x0000
2016-3-1 08:40:00, 906.64, 0x0000, 906.64, 0x0008, 29.0842,0x0000, 29.3313,0x0000, 602.942,0x0000
2016-3-1 08:45:00, 918.631,0x0000, 918.631,0x0008, 29.3895,0x0000, 29.8528,0x0000, 601.38, 0x0000
2016-3-1 08:50:00, 930.622,0x0000, 930.622,0x0008, 29.6947,0x0000, 30.1199,0x0000, 600.438,0x0000
2016-3-1 08:55:00, 932.335,0x0000, 932.335,0x0008, 30.1831,0x0000, 30.5646,0x0000, 602.628,0x0000
2016-3-1 09:00:00, 932.335,0x0000, 932.335,0x0008, 30.4273,0x0000, 30.7792,0x0000, 603.894,0x0000
2016-3-1 09:05:00, 945.183,0x0000, 945.183,0x0008, 30.4273,0x0000, 30.7227,0x0000, 603.272,0x0000
2016-3-1 09:10:00, 939.188,0x0000, 939.188,0x0008, 30.6105,0x0000, 30.9412,0x0000, 602.688,0x0000
2016-3-1 09:15:00, 940.901,0x0000, 940.901,0x0008, 30.7936,0x0000, 30.7844,0x0000, 602.688,0x0000
2016-3-1 09:20:00, 940.044,0x0000, 940.044,0x0008, 30.9768,0x0000, 30.7444,0x0000, 603.604,0x0000
2016-3-1 09:25:00, 963.171,0x0000, 963.171,0x0008, 30.9158,0x0000, 30.947, 0x0000, 601.414,0x0000
2016-3-1 09:30:00, 973.449,0x0000, 973.449,0x0008, 30.3052,0x0000, 30.9971,0x0000, 593.391,0x0000
2016-3-1 09:35:00, 961.458,0x0000, 961.458,0x0008, 30.1221,0x0000, 30.9971,0x0000, 593.67, 0x0000
2016-3-1 09:40:00, 963.171,0x0000, 963.171,0x0008, 30.1221,0x0000, 30.9971,0x0000, 599.404,0x0000
2016-3-1 09:45:00, 966.597,0x0000, 966.597,0x0008, 30.1221,0x0000, 30.9971,0x0000, 600.642,0x0000
2016-3-1 09:50:00, 965.74, 0x0000, 965.74, 0x0008, 30.1221,0x0000, 30.9971,0x0000, 601.252,0x0000
