timeSegBegin,timeSegEnd,MW,THRTEMP,MSP,YRHRTEMPT,RRHRTEMPT,LAE11CG101XQ01,LAE12CG101XQ01,LAE13CG101XQ01,LAE14CG101XQ01,LAE21CG101XQ01,LAE22CG101XQ01,LAE23CG101XQ01,LAE24CG101XQ01,HHA11,HHA31,HHA51,HHA71,HHA81,HNA01A,HNA02A,O2,TAF,TOTALCOAL
2016-3-18 06:23:00,2016-3-18 07:49:00,982.3446,592.3108,30.5414,599.5354,601.957,0.3929,2.1305,0.9033,7.2614,42.7628,17.6937,25.3452,61.9707,88.9655,88.9655,88.9655,64.2529,64.2529,98.8506,73.069,2.9465,3483.7002,348.0878
2016-3-18 21:55:00,2016-3-18 22:04:00,890.5375,538.128,27.4175,540.377,544.2245,-1.233,1.6355,0.636,6.508,3.675,3.3205,5.4965,25.134,81.0,81.0,81.0,81.0,81.0,90.0,68.4,2.645,3276.1725,336.1055
2016-3-19 07:16:00,2016-3-19 07:46:00,957.4519,582.0305,29.6716,583.0787,586.669,-0.5021,2.6313,0.3431,7.4018,1.1403,4.5842,3.4889,18.3044,87.0968,87.0968,87.0968,87.0968,87.0968,96.7742,75.4839,2.7331,3553.0584,362.2781
2016-3-22 21:39:00,2016-3-22 21:51:00,909.0777,549.9923,28.2881,547.7819,551.7381,-1.0638,1.7169,0.8492,1.2185,1.0615,3.3508,16.2792,-0.3073,73.8462,73.8462,73.8462,73.8462,73.8462,89.6154,83.5385,2.5627,3247.8012,348.0765
2016-3-22 21:55:00,2016-3-22 22:01:00,842.2771,512.5514,26.2071,509.3993,509.3264,-1.1014,1.5643,0.7029,1.0586,0.8657,7.9529,15.5507,-0.4071,68.5714,68.5714,68.5714,68.5714,68.5714,85.7143,75.4286,2.7043,3037.1907,326.0936
2016-3-22 22:14:00,2016-3-22 22:20:00,842.215,514.2007,26.4036,511.68,508.9329,10.7671,22.9207,10.4129,23.9229,0.9686,22.5836,35.9643,-0.4457,68.5714,68.5714,68.5714,68.5714,68.5714,85.7143,75.4286,2.4521,2997.14,321.41
2016-3-24 21:20:00,2016-3-24 21:26:00,844.2343,509.3943,26.5779,513.4229,514.9014,-2.3614,0.6471,37.0714,0.0771,0.4971,8.4464,38.78,-1.2986,72.8571,72.8571,72.8571,55.7143,55.7143,85.7143,72.8571,2.2864,2792.5593,304.5486
2016-3-25 05:59:00,2016-3-25 06:40:00,968.3412,580.6104,30.0143,583.5845,585.1874,-0.2788,2.7444,20.9002,1.66,0.6479,20.8595,30.1554,-1.311,82.9762,82.9762,82.9762,73.2143,73.2143,79.9048,97.619,2.7685,3361.0692,348.9246
2016-3-26 21:40:00,2016-3-26 21:57:00,933.4297,562.5461,28.7325,566.3056,566.3678,-1.6067,1.4506,0.7222,0.4344,0.7994,50.7064,60.6983,-1.2589,80.2778,80.2778,80.2778,80.2778,80.2778,82.7778,88.6667,nan,nan,nan
2016-3-29 09:18:00,2016-3-29 10:38:00,981.4496,592.891,30.5912,598.7171,601.9776,30.847,27.0088,30.6401,26.451,1.3811,9.8641,22.7422,37.2136,81.6358,80.8395,80.8395,76.2037,77.8025,98.7654,69.4568,2.9191,3447.0022,345.7669
2016-3-29 13:25:00,2016-3-29 13:41:00,938.8856,556.7291,29.2618,563.3162,564.2006,74.1535,83.1235,89.6629,84.0371,0.8482,28.1315,13.5806,-0.5318,76.2353,75.2941,75.2941,64.0,65.8824,94.1176,71.5294,2.6015,3099.0406,325.9974
2016-3-29 14:30:00,2016-3-29 17:36:00,992.8735,594.0331,30.5374,600.6632,603.703,36.9798,41.0877,47.6063,42.6391,1.898,22.8967,31.7337,2.386,81.7219,81.0294,81.0294,72.7193,74.1043,98.4064,82.984,2.7797,3391.4074,341.5765
2016-3-30 09:03:00,2016-3-30 11:32:00,991.9948,594.8995,30.784,597.801,599.0702,24.6976,16.5921,25.0006,17.5694,40.9161,14.5861,3.7215,35.2265,84.4333,84.4333,84.4333,72.65,72.65,99.3333,64.6533,2.7049,3559.3821,350.6801
2016-3-30 13:54:00,2016-3-30 18:24:00,993.0039,597.2306,30.4536,602.2035,605.9612,20.2477,23.2309,22.2052,23.7352,55.8782,20.922,22.4323,45.0336,84.6863,84.6863,84.6863,59.7786,59.7786,99.631,74.4059,2.7054,3407.9843,341.8343
2016-3-30 21:25:00,2016-3-30 22:27:00,980.9467,582.9592,30.4608,585.4033,587.7465,35.3737,30.3226,53.3765,28.8113,0.76,42.5639,39.0924,0.1539,83.6508,83.6508,83.6508,59.0476,59.0476,68.8889,98.4127,2.8366,3278.8844,340.3017
2016-3-31 08:54:00,2016-3-31 18:20:00,998.3736,601.9746,30.8469,606.7313,605.9554,0.0175,1.568,0.128,1.038,27.1715,4.0555,18.9266,12.666,84.8501,84.8501,84.8501,65.4321,65.4321,99.8236,68.5159,2.9618,nan,344.8592
