时间,UNIT3:HNA00AA001AXQ01数值,UNIT3:HNA00AA001AXQ01状态,UNIT3:HNA00AA001BXQ01数值,UNIT3:HNA00AA001BXQ01状态,UNIT3:HNA00AA002AXQ01数值,UNIT3:HNA00AA002AXQ01状态,UNIT3:HNA00AA002BXQ01数值,UNIT3:HNA00AA002BXQ01状态,
	2016-3-29 13:10:00,	68,	0x0000,	68,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 13:20:00,	100,	0x0000,	100,	0x0000,	76,	0x0000,	76,	0x0000,
	2016-3-29 13:30:00,	100,	0x0000,	100,	0x0000,	76,	0x0000,	76,	0x0000,
	2016-3-29 13:40:00,	100,	0x0000,	100,	0x0000,	76,	0x0000,	76,	0x0000,
	2016-3-29 13:50:00,	100,	0x0000,	100,	0x0000,	76,	0x0000,	76,	0x0000,
	2016-3-29 14:00:00,	80,	0x0000,	80,	0x0000,	100,	0x0000,	96,	0x0000,
	2016-3-29 14:10:00,	80,	0x0000,	80,	0x0000,	100,	0x0000,	96,	0x0000,
	2016-3-29 14:20:00,	80,	0x0000,	80,	0x0000,	100,	0x0000,	96,	0x0000,
	2016-3-29 14:30:00,	80,	0x0000,	80,	0x0000,	100,	0x0000,	96,	0x0000,
	2016-3-29 14:40:00,	88,	0x0000,	88,	0x0000,	100,	0x0000,	96,	0x0000,
	2016-3-29 14:50:00,	100,	0x0000,	100,	0x0000,	84,	0x0000,	84,	0x0000,
	2016-3-29 15:00:00,	100,	0x0000,	100,	0x0000,	84,	0x0000,	84,	0x0000,
	2016-3-29 15:10:00,	100,	0x0000,	100,	0x0000,	84,	0x0000,	84,	0x0000,
	2016-3-29 15:20:00,	100,	0x0000,	100,	0x0000,	84,	0x0000,	84,	0x0000,
	2016-3-29 15:30:00,	100,	0x0000,	100,	0x0000,	84,	0x0000,	84,	0x0000,
	2016-3-29 15:40:00,	100,	0x0000,	100,	0x0000,	84,	0x0000,	84,	0x0000,
	2016-3-29 15:50:00,	100,	0x0000,	100,	0x0000,	84,	0x0000,	84,	0x0000,
	2016-3-29 16:00:00,	100,	0x0000,	100,	0x0000,	84,	0x0000,	84,	0x0000,
	2016-3-29 16:10:00,	100,	0x0000,	100,	0x0000,	84,	0x0000,	84,	0x0000,
	2016-3-29 16:20:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-29 16:30:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-29 16:40:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-29 16:50:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-29 17:00:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-29 17:10:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-29 17:20:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-29 17:30:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-29 17:40:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-29 17:50:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-29 18:00:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-29 18:10:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-29 18:20:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-29 18:30:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-29 18:40:00,	80,	0x0000,	80,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 18:50:00,	80,	0x0000,	80,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 19:00:00,	80,	0x0000,	80,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 19:10:00,	80,	0x0000,	80,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 19:20:00,	80,	0x0000,	80,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 19:30:00,	80,	0x0000,	80,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 19:40:00,	80,	0x0000,	80,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 19:50:00,	80,	0x0000,	80,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 20:00:00,	80,	0x0000,	80,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 20:10:00,	80,	0x0000,	80,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 20:20:00,	80,	0x0000,	80,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 20:30:00,	80,	0x0000,	80,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 20:40:00,	80,	0x0000,	80,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 20:50:00,	80,	0x0000,	80,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 21:00:00,	80,	0x0000,	80,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 21:10:00,	80,	0x0000,	80,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 21:20:00,	80,	0x0000,	80,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 21:30:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-29 21:40:00,	100,	0x0000,	100,	0x0000,	75,	0x0000,	75,	0x0000,
	2016-3-29 21:50:00,	100,	0x0000,	100,	0x0000,	75,	0x0000,	75,	0x0000,
	2016-3-29 22:00:00,	100,	0x0000,	100,	0x0000,	75,	0x0000,	75,	0x0000,
	2016-3-29 22:10:00,	100,	0x0000,	100,	0x0000,	75,	0x0000,	75,	0x0000,
	2016-3-29 22:20:00,	100,	0x0000,	100,	0x0000,	75,	0x0000,	75,	0x0000,
	2016-3-29 22:30:00,	100,	0x0000,	100,	0x0000,	75,	0x0000,	75,	0x0000,
	2016-3-29 22:40:00,	100,	0x0000,	100,	0x0000,	75,	0x0000,	75,	0x0000,
	2016-3-29 22:50:00,	100,	0x0000,	100,	0x0000,	75,	0x0000,	75,	0x0000,
	2016-3-29 23:00:00,	100,	0x0000,	100,	0x0000,	75,	0x0000,	75,	0x0000,
	2016-3-29 23:10:00,	100,	0x0000,	100,	0x0000,	75,	0x0000,	75,	0x0000,
	2016-3-29 23:20:00,	100,	0x0000,	100,	0x0000,	75,	0x0000,	75,	0x0000,
	2016-3-29 23:30:00,	92,	0x0000,	92,	0x0000,	84,	0x0000,	84,	0x0000,
	2016-3-29 23:40:00,	92,	0x0000,	92,	0x0000,	84,	0x0000,	84,	0x0000,
	2016-3-29 23:50:00,	92,	0x0000,	92,	0x0000,	84,	0x0000,	84,	0x0000,
	2016-3-30 00:00:00,	88,	0x0000,	88,	0x0000,	88,	0x0000,	88,	0x0000,
	2016-3-30 00:10:00,	88,	0x0000,	88,	0x0000,	88,	0x0000,	88,	0x0000,
	2016-3-30 00:20:00,	88,	0x0000,	88,	0x0000,	88,	0x0000,	88,	0x0000,
	2016-3-30 00:30:00,	88,	0x0000,	88,	0x0000,	88,	0x0000,	88,	0x0000,
	2016-3-30 00:40:00,	88,	0x0000,	88,	0x0000,	88,	0x0000,	88,	0x0000,
	2016-3-30 00:50:00,	88,	0x0000,	88,	0x0000,	88,	0x0000,	88,	0x0000,
	2016-3-30 01:00:00,	88,	0x0000,	88,	0x0000,	88,	0x0000,	88,	0x0000,
	2016-3-30 01:10:00,	88,	0x0000,	88,	0x0000,	88,	0x0000,	88,	0x0000,
	2016-3-30 01:20:00,	88,	0x0000,	88,	0x0000,	88,	0x0000,	88,	0x0000,
	2016-3-30 01:30:00,	88,	0x0000,	88,	0x0000,	88,	0x0000,	88,	0x0000,
	2016-3-30 01:40:00,	88,	0x0000,	88,	0x0000,	88,	0x0000,	88,	0x0000,
	2016-3-30 01:50:00,	88,	0x0000,	88,	0x0000,	88,	0x0000,	88,	0x0000,
	2016-3-30 02:00:00,	88,	0x0000,	88,	0x0000,	88,	0x0000,	88,	0x0000,
	2016-3-30 02:10:00,	88,	0x0000,	88,	0x0000,	88,	0x0000,	88,	0x0000,
	2016-3-30 02:20:00,	88,	0x0000,	88,	0x0000,	88,	0x0000,	88,	0x0000,
	2016-3-30 02:30:00,	88,	0x0000,	88,	0x0000,	88,	0x0000,	88,	0x0000,
	2016-3-30 02:40:00,	88,	0x0000,	88,	0x0000,	88,	0x0000,	88,	0x0000,
	2016-3-30 02:50:00,	88,	0x0000,	88,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-30 03:00:00,	88,	0x0000,	88,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-30 03:10:00,	88,	0x0000,	88,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-30 03:20:00,	88,	0x0000,	88,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-30 03:30:00,	88,	0x0000,	88,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-30 03:40:00,	88,	0x0000,	88,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-30 03:50:00,	88,	0x0000,	88,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-30 04:00:00,	88,	0x0000,	88,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-30 04:10:00,	88,	0x0000,	88,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-30 04:20:00,	88,	0x0000,	88,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-30 04:30:00,	88,	0x0000,	88,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-30 04:40:00,	88,	0x0000,	88,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-30 04:50:00,	88,	0x0000,	88,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-30 05:00:00,	88,	0x0000,	88,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-30 05:10:00,	88,	0x0000,	88,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-30 05:20:00,	88,	0x0000,	88,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-30 05:30:00,	88,	0x0000,	88,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-30 05:40:00,	88,	0x0000,	88,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-30 05:50:00,	88,	0x0000,	88,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-30 06:00:00,	88,	0x0000,	88,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-30 06:10:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-30 06:20:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-30 06:30:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-30 06:40:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-30 06:50:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-30 07:00:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-30 07:10:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-30 07:20:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-30 07:30:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-30 07:40:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-30 07:50:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-30 08:00:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-30 08:10:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-30 08:20:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-30 08:30:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-30 08:40:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-30 08:50:00,	100,	0x0000,	100,	0x0000,	60,	0x0000,	60,	0x0000,
	2016-3-30 09:00:00,	100,	0x0000,	100,	0x0000,	84,	0x0000,	84,	0x0000,
	2016-3-30 09:10:00,	100,	0x0000,	100,	0x0000,	64,	0x0000,	64,	0x0000,
	2016-3-30 09:20:00,	100,	0x0000,	100,	0x0000,	64,	0x0000,	64,	0x0000,
	2016-3-30 09:30:00,	100,	0x0000,	100,	0x0000,	64,	0x0000,	64,	0x0000,
	2016-3-30 09:40:00,	100,	0x0000,	100,	0x0000,	64,	0x0000,	64,	0x0000,
	2016-3-30 09:50:00,	100,	0x0000,	100,	0x0000,	64,	0x0000,	64,	0x0000,
	2016-3-30 10:00:00,	100,	0x0000,	100,	0x0000,	64,	0x0000,	64,	0x0000,
	2016-3-30 10:10:00,	100,	0x0000,	100,	0x0000,	64,	0x0000,	64,	0x0000,
	2016-3-30 10:20:00,	100,	0x0000,	100,	0x0000,	64,	0x0000,	64,	0x0000,
	2016-3-30 10:30:00,	100,	0x0000,	100,	0x0000,	64,	0x0000,	64,	0x0000,
	2016-3-30 10:40:00,	100,	0x0000,	100,	0x0000,	64,	0x0000,	64,	0x0000,
	2016-3-30 10:50:00,	100,	0x0000,	100,	0x0000,	64,	0x0000,	64,	0x0000,
	2016-3-30 11:00:00,	100,	0x0000,	100,	0x0000,	60,	0x0000,	60,	0x0000,
	2016-3-30 11:10:00,	100,	0x0000,	100,	0x0000,	64,	0x0000,	64,	0x0000,
	2016-3-30 11:20:00,	100,	0x0000,	100,	0x0000,	88,	0x0000,	88,	0x0000,
	2016-3-30 11:30:00,	100,	0x0000,	100,	0x0000,	68,	0x0000,	68,	0x0000,
	2016-3-30 11:40:00,	100,	0x0000,	100,	0x0000,	68,	0x0000,	68,	0x0000,
	2016-3-30 11:50:00,	100,	0x0000,	100,	0x0000,	68,	0x0000,	68,	0x0000,
	2016-3-30 12:00:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-30 12:10:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-30 12:20:00,	72,	0x0000,	72,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-30 12:30:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-30 12:40:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-30 12:50:00,	80,	0x0000,	80,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-30 13:00:00,	80,	0x0000,	80,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-30 13:10:00,	100,	0x0000,	100,	0x0000,	72,	0x0000,	72,	0x0000,
	2016-3-30 13:20:00,	100,	0x0000,	100,	0x0000,	72,	0x0000,	72,	0x0000,
	2016-3-30 13:30:00,	100,	0x0000,	100,	0x0000,	72,	0x0000,	72,	0x0000,
	2016-3-30 13:40:00,	100,	0x0000,	100,	0x0000,	72,	0x0000,	72,	0x0000,
	2016-3-30 13:50:00,	100,	0x0000,	100,	0x0000,	72,	0x0000,	72,	0x0000,
	2016-3-30 14:00:00,	100,	0x0000,	100,	0x0000,	60,	0x0000,	60,	0x0000,
	2016-3-30 14:10:00,	100,	0x0000,	100,	0x0000,	60,	0x0000,	60,	0x0000,
	2016-3-30 14:20:00,	100,	0x0000,	100,	0x0000,	76,	0x0000,	76,	0x0000,
	2016-3-30 14:30:00,	100,	0x0000,	100,	0x0000,	76,	0x0000,	76,	0x0000,
